time,x,y,z,w0,w1,w2,w3,vx,vy,vz,roll,pitch,yaw
0,-5.57719872813,-2.69290252885,0,5.01872465901e-06,0.00158522869044,-0.00432497808218,0.999989390738,-0.260503477255,-2.1839103559e-05,0.0,0,0,-0.020740877797
0,-5.58580246659,-2.6928262999,0,5.40524139783e-06,0.00158727485878,-0.00466736827887,0.999987848027,-0.260954808995,-3.92506292092e-05,0.0,0,0,-0.0208353465261
0,-5.59468091892,-2.6927421529,0,5.67961345936e-06,0.00159145917997,-0.00502031918916,0.999986131714,-0.26125715614,-5.91733286192e-05,0.0,0,0,-0.0208201241183
0,-5.6032997892,-2.69265452815,0,5.77104784324e-06,0.00159647938269,-0.00536657991272,0.999984325397,-0.261087004621,-5.17110337343e-05,0.0,0,0,-0.0211222874876
0,-5.61190675359,-2.69256039476,0,5.62003051158e-06,0.00160101323359,-0.00571603461719,0.999982381681,-0.260552994801,-2.08180019059e-05,0.0,0,0,-0.0211605272932
0,-5.62074889243,-2.69246380763,0,8.41188543667e-06,0.00159897912735,-0.00592132010428,0.999981190405,-0.25940690906,-0.000349218714517,0.0,0,0,-0.00575960566711
0,-5.62927721589,-2.69235697016,0,1.15352637114e-05,0.00160430570671,-0.00604704064586,0.999980429493,-0.258691716561,-7.97938510917e-05,0.0,0,0,-0.0129702619151
0,-5.63781704807,-2.69225172422,0,8.62031186364e-06,0.00159631237555,-0.00625996966749,0.999979132028,-0.25858764376,1.55143326998e-05,0.0,0,0,-0.0125865377886
0,-5.64659634201,-2.69213426936,0,9.87128917814e-06,0.00159007621514,-0.00711078281293,0.999973453812,-0.25845177586,2.52299422252e-05,0.0,0,0,-0.0536839413968
0,-5.65513210846,-2.69200446186,0,1.12444428143e-05,0.00158660134965,-0.00799411319721,0.99996678781,-0.258898259046,2.21642218182e-05,0.0,0,0,-0.0534683689288
0,-5.66368263959,-2.69185957733,0,1.25150268567e-05,0.00158483685558,-0.00887481316839,0.999959362088,-0.25936089794,1.4645971908e-05,0.0,0,0,-0.0533278585622
0,-5.67251414759,-2.69170024774,0,1.26843983873e-05,0.0015844986802,-0.0091220051109,0.999957138194,-0.260091074775,-7.33322952261e-06,0.0,0,0,-0.0126419295601
0,-5.68110344324,-2.69154233732,0,1.30622090371e-05,0.00158509285286,-0.00932966774108,0.999955221302,-0.260547479388,-1.7783413072e-05,0.0,0,0,-0.0125511951482
0,-5.68970739272,-2.69138087038,0,1.34310749594e-05,0.00158724211961,-0.00953587448102,0.999953272698,-0.26098799644,-2.53691592528e-05,0.0,0,0,-0.0124614244993
0,-5.69858478753,-2.69121149661,0,1.35091666013e-05,0.00159151723044,-0.00960674061343,0.999952587589,-0.261259438571,-1.25808206009e-05,0.0,0,0,-0.00378683738626
0,-5.70720188274,-2.69104595424,0,1.34383528777e-05,0.00159631838433,-0.00966858950559,0.999951983829,-0.261053852145,-1.63846644953e-05,0.0,0,0,-0.00368845518889
0,-5.71580683556,-2.69087974067,0,1.27397592806e-05,0.00160046316864,-0.00972322214273,0.999951447475,-0.260539289788,-2.83506806361e-05,0.0,0,0,-0.0024366181921
0,-5.72464873072,-2.69071420807,0,9.22159664887e-06,0.00160094659177,-0.00979786066402,0.999950718191,-0.259408096954,-0.000296289125911,0.0,0,0,-0.000266591131924
0,-5.73318510735,-2.69054234271,0,1.77373558884e-05,0.00160333038075,-0.00988819346014,0.999949825065,-0.25892003004,5.36146960648e-05,0.0,0,0,-0.0139963757891
0,-5.74172411493,-2.69037127654,0,1.35334049525e-05,0.00159648235136,-0.0100830538968,0.999947890185,-0.258655770068,2.09630674326e-05,0.0,0,0,-0.0118904602821
0,-5.75051731922,-2.6901919845,0,1.38494417244e-05,0.00159162392935,-0.0102323896445,0.999946380934,-0.258756744996,1.81411889482e-05,0.0,0,0,-0.00891256822485
0,-5.75906200898,-2.69001545854,0,1.43990004009e-05,0.00158745792072,-0.0103779883751,0.999944887045,-0.259181444241,1.28335017311e-05,0.0,0,0,-0.00882244526671
0,-5.76762099133,-2.68983643199,0,1.47718561244e-05,0.00158522022273,-0.0105228673953,0.999943376457,-0.259629815223,4.60047626797e-06,0.0,0,0,-0.00875546192872
0,-5.77645414433,-2.6896502766,0,1.4914680781e-05,0.00158448222038,-0.0105410017385,0.999943186624,-0.26008150138,6.41476037988e-06,0.0,0,0,-0.000868446266542
0,-5.7850426526,-2.68946911794,0,1.50420991438e-05,0.00158510434755,-0.0105542459092,0.999943045934,-0.260537985366,3.4693219832e-06,0.0,0,0,-0.000761681576122
0,-5.79364590267,-2.68928752819,0,1.51739288515e-05,0.00158730490053,-0.0105656334785,0.999942922182,-0.260979535304,5.52579171014e-07,0.0,0,0,-0.000637463012573
0,-5.80253199987,-2.68910649687,0,1.39006198149e-05,0.00158982841946,-0.00969290275397,0.999951758781,-0.261581572827,7.11276058547e-06,0.0,0,0,0.0558934745955
0,-5.81116139666,-2.68894771293,0,1.26304791057e-05,0.00159454656639,-0.00877142598852,0.999960258884,-0.261455214952,-2.68466678581e-06,0.0,0,0,0.0557362981133
0,-5.81977909303,-2.68880408785,0,1.12856881337e-05,0.00160011310581,-0.00786601947719,0.999967782105,-0.260802810516,2.63051210991e-05,0.0,0,0,0.0532134715962
0,-5.82862624933,-2.68866630142,0,9.70644362115e-06,0.00160201227822,-0.00710983732752,0.999973441485,-0.259632616576,0.000402422123959,0.0,0,0,0.03585727072
0,-5.83717772884,-2.68855075347,0,6.18579416338e-06,0.00160183325366,-0.00640188673706,0.999978224732,-0.258963041786,-6.35009662225e-05,0.0,0,0,0.0464533423357
0,-5.84571778334,-2.68844945058,0,6.27876213287e-06,0.00159642647844,-0.00564044597309,0.999982818229,-0.258672308,-3.35723594899e-05,0.0,0,0,0.0463757262448
0,-5.85451278949,-2.68835768541,0,5.99387071558e-06,0.00159134645418,-0.00490662160013,0.999986696234,-0.258769527044,-8.03665072867e-06,0.0,0,0,0.0430805104926
0,-5.86306094393,-2.68827959811,0,5.37196204105e-06,0.00158793516103,-0.00420179648045,0.999989911619,-0.259243377589,2.11103436075e-05,0.0,0,0,0.0427663211955
0,-5.87162438711,-2.68821307727,0,3.9222667928e-06,0.00158564765118,-0.00349071447878,0.999992650282,-0.259732834096,3.14345232555e-05,0.0,0,0,0.0433456774317
0,-5.88046120282,-2.68815639541,0,2.82391831381e-06,0.00158456063417,-0.00284911002601,0.999994685852,-0.260124437168,3.26484421554e-05,0.0,0,0,0.0377132457933
0,-5.88905404319,-2.68811215807,0,1.65904687625e-06,0.00158473307149,-0.00222255384803,0.999996274429,-0.260635458828,2.57605523759e-05,0.0,0,0,0.0381822979115
0,-5.89766294452,-2.6880789059,0,4.58869317348e-07,0.00158655407488,-0.0015905747415,0.999997476456,-0.261111458775,1.89311779413e-05,0.0,0,0,0.0384385086809
0,-5.90654819023,-2.68805759462,0,-1.23935422873e-06,0.00159031302828,-0.00080893613595,0.999998408261,-0.261458497793,-7.21499262681e-07,0.0,0,0,0.045855380978
